Degree,Core
C10184,STM90680
C10223,STM91002
C10223,STM91514
C10228,STM91002
C10228,STM91568
C10242,STM90694
C10242,STM90697
C10347,STM91299
C10387,STM91180
C10457,STM91631
C09077,STM91598
C09100,STM91704
C09129,STM91632
